YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,MAM,JJA,SON,DJF,ANN
1975,24.5,24.4,24,23.8,21.8,20,19.4,19.4,20.5,21.8,23.5,24,23.2,19.6,22,24.3,22.3
1976,24.3,24.5,24.4,23.7,21.9,20.3,19.6,19.9,21,22.5,24.1,24.5,23.4,19.9,22.5,24.7,22.6
1977,25,24.5,24.5,23.4,22.3,20.4,19.9,20.3,21.5,23.3,24.1,25.1,23.4,20.2,23,25.3,22.9
1978,25.4,25.3,24.5,23.7,21.9,20.3,19.3,20.3,21.6,23.3,23.9,24.4,23.4,20,23,24.7,22.8
1979,24.7,24.9,24.8,23.5,21.8,19.8,19.5,20.2,21.7,23.1,24,24.6,23.4,19.8,22.9,24.8,22.7
1980,24.7,25.1,24.7,24,21.8,19.9,19.6,19.9,21.2,22.9,24.3,24.9,23.5,19.8,22.8,25.1,22.7
1981,25.5,25,24.7,23.6,21.6,19.9,19.1,20.1,21.2,22.6,23.8,24.7,23.3,19.7,22.5,24.8,22.7
1982,24.8,24.9,24.5,23.6,21.8,20.8,20.2,20.1,21.1,22.5,23.9,24.5,23.3,20.4,22.5,25,22.7
1983,24.9,25.5,25.3,24.2,22.6,21.1,20.2,20,21.1,22.7,24,24.5,24,20.4,22.6,24.6,23
1984,24.8,24.6,24.3,23.4,21.8,19.9,19.3,19.4,20.8,22.6,23.8,24.5,23.2,19.5,22.4,24.8,22.4
1985,25.2,24.8,24.4,23.3,21.6,19.9,19.7,20.3,21.5,22.4,23.5,24.5,23.1,20,22.4,24.7,22.6
1986,24.8,24.9,24.7,24,21.9,19.3,18.9,19.9,20.9,22.5,23.8,24.7,23.5,19.4,22.4,24.8,22.5
1987,24.7,25.1,25.2,24.1,22.3,19.8,20,20.6,21.8,23,24,25.5,23.9,20.1,22.9,25.4,23
1988,25.5,25.1,25.1,24.5,21.9,20.8,20,20.2,21.2,23.1,23.6,24.6,23.8,20.3,22.6,24.5,23
1989,24.6,24.2,24.6,23.5,22,20.2,19.7,20.3,21.2,22.8,23.9,24.5,23.4,20.1,22.6,24.8,22.6
1990,24.8,25,24.6,23.9,22.2,20.6,19.2,20.3,21.3,23.1,23.7,25.1,23.6,20,22.7,25.3,22.8
